,Level,,production
RoW,Activity,Landfill of waste: Textiles,13030525752.478573
RoW,Activity,Landfill of waste: Wood,15796957870.041636
RoW,Activity,Activities of membership organisation n.e.c. (91),722932137724.6962
RoW,Activity,"Recreational, cultural and sporting activities (92)",1535553827988.7952
RoW,Activity,Other service activities (93),1260441457351.2625
RoW,Activity,Private households with employed persons (95),242857170006.23657
RoW,Activity,Extra-territorial organizations and bodies,0.0
Russia,Activity,Cultivation of paddy rice,1223806511.3449101
Russia,Activity,Cultivation of wheat,17128778810.095938
Russia,Activity,Cultivation of cereal grains nec,8426238475.398506
Russia,Activity,"Cultivation of vegetables, fruit, nuts",10503200868.107943
Russia,Activity,Cultivation of oil seeds,4542723053.096061
Russia,Activity,"Cultivation of sugar cane, sugar beet",1911065883.169471
Russia,Activity,Cultivation of plant-based fibers,18701491.058023907
Russia,Activity,Cultivation of crops nec,16003215995.615929
Russia,Activity,Cattle farming,5187386233.032754
Russia,Activity,Pigs farming,5497822089.188975
Russia,Activity,Poultry farming,8953650157.64339
Russia,Activity,Meat animals nec,901351255.5834926
Russia,Activity,Animal products nec,393068611.1726032
Russia,Activity,Raw milk,13719806792.066273
Russia,Activity,"Wool, silk-worm cocoons",38260981.45489882
Russia,Activity,"Manure treatment (conventional), storage and land application",0.0
Russia,Activity,"Manure treatment (biogas), storage and land application",0.0
Russia,Activity,"Forestry, logging and related service activities (02)",10680769645.372417
Russia,Activity,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",4515312864.894024
Russia,Activity,Mining of coal and lignite; extraction of peat (10),25303266533.72175
Russia,Activity,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",140982179378.65726
Russia,Activity,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",25702637273.717514
Russia,Activity,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",0.0
Russia,Activity,Mining of uranium and thorium ores (12),696014606.0702938
Russia,Activity,Mining of iron ores,2190045638.23591
Russia,Activity,Mining of copper ores and concentrates,3293351702.2994294
Russia,Activity,Mining of nickel ores and concentrates,363936395.00693125
Russia,Activity,Mining of aluminium ores and concentrates,288125841.08891356
Russia,Activity,Mining of precious metal ores and concentrates,5939969353.1713085
Russia,Activity,"Mining of lead, zinc and tin ores and concentrates",1022842365.1190203
Russia,Activity,Mining of other non-ferrous metal ores and concentrates,571716557.2555041
Russia,Activity,Quarrying of stone,0.0
Russia,Activity,Quarrying of sand and clay,5168785172.569939
Russia,Activity,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",6169197938.609279
Russia,Activity,Processing of meat cattle,21378362.127896663
Russia,Activity,Processing of meat pigs,14683966.727458315
Russia,Activity,Processing of meat poultry,80632984.33156046
Russia,Activity,Production of meat products nec,1967213434.074024
Russia,Activity,Processing vegetable oils and fats,17484834172.787296
Russia,Activity,Processing of dairy products,9245510586.577099
Russia,Activity,Processed rice,531769549.5070409
Russia,Activity,Sugar refining,4434875983.461351
Russia,Activity,Processing of Food products nec,48451493037.499176
Russia,Activity,Manufacture of beverages,14902637038.634819
Russia,Activity,Manufacture of fish products,39402700968.19609
Russia,Activity,Manufacture of tobacco products (16),10901951747.270382
Russia,Activity,Manufacture of textiles (17),6713802825.000417
Russia,Activity,Manufacture of wearing apparel; dressing and dyeing of fur (18),3379012765.2442527
Russia,Activity,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear (19)",6138414787.160761
Russia,Activity,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",18355280224.683823
Russia,Activity,Re-processing of secondary wood material into new wood material,0.0
Russia,Activity,Pulp,6471936647.728697
Russia,Activity,Re-processing of secondary paper into new pulp,0.0
Russia,Activity,Paper,12902635565.111883
Russia,Activity,"Publishing, printing and reproduction of recorded media (22)",5170989815.5755415
Russia,Activity,Manufacture of coke oven products,5897643008.651414
Russia,Activity,Petroleum Refinery,63439531268.44108
Russia,Activity,Processing of nuclear fuel,2190905087.406203
Russia,Activity,"Plastics, basic",2393948628.893415
Russia,Activity,Re-processing of secondary plastic into new plastic,0.0
Russia,Activity,N-fertiliser,297866795.1751191
Russia,Activity,P- and other fertiliser,10389206065.262486
Russia,Activity,Chemicals nec,35232817095.46348
Russia,Activity,Manufacture of rubber and plastic products (25),5261683514.3723345
Russia,Activity,Manufacture of glass and glass products,3927256847.5121803
Russia,Activity,Re-processing of secondary glass into new glass,0.0
Russia,Activity,Manufacture of ceramic goods,2614613389.006987
Russia,Activity,"Manufacture of bricks, tiles and construction products, in baked clay",271270632.3055206
Russia,Activity,"Manufacture of cement, lime and plaster",11791314772.410686
Russia,Activity,Re-processing of ash into clinker,0.0
Russia,Activity,Manufacture of other non-metallic mineral products n.e.c.,3737893514.4405446
Russia,Activity,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,67020131558.785446
Russia,Activity,Re-processing of secondary steel into new steel,0.0
Russia,Activity,Precious metals production,6955421901.335619
Russia,Activity,Re-processing of secondary preciuos metals into new preciuos metals,0.0
Russia,Activity,Aluminium production,16032534721.289053
Russia,Activity,Re-processing of secondary aluminium into new aluminium,0.0
Russia,Activity,"Lead, zinc and tin production",736281263.0040796
Russia,Activity,"Re-processing of secondary lead into new lead, zinc and tin",0.0
Russia,Activity,Copper production,10633408898.9643
Russia,Activity,Re-processing of secondary copper into new copper,0.0
Russia,Activity,Other non-ferrous metal production,13476294880.603607
Russia,Activity,Re-processing of secondary other non-ferrous metals into new other non-ferrous metals,0.0
Russia,Activity,Casting of metals,2194620049.895088
Russia,Activity,"Manufacture of fabricated metal products, except machinery and equipment (28)",99472539970.40448
Russia,Activity,Manufacture of machinery and equipment n.e.c. (29),43580818688.54675
Russia,Activity,Manufacture of office machinery and computers (30),293173171.38189656
Russia,Activity,Manufacture of electrical machinery and apparatus n.e.c. (31),4391409907.020899
Russia,Activity,"Manufacture of radio, television and communication equipment and apparatus (32)",1534703102.4374275
Russia,Activity,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",2687537020.846088
Russia,Activity,"Manufacture of motor vehicles, trailers and semi-trailers (34)",6284300971.265295
Russia,Activity,Manufacture of other transport equipment (35),6798328066.91018
Russia,Activity,Manufacture of furniture; manufacturing n.e.c. (36),4724377453.315863
Russia,Activity,Recycling of waste and scrap,290367678.4533142
Russia,Activity,Recycling of bottles by direct reuse,0.0
Russia,Activity,Production of electricity by coal,8746140508.092379
Russia,Activity,Production of electricity by gas,22928169049.092075
Russia,Activity,Production of electricity by nuclear,7014436896.009866
Russia,Activity,Production of electricity by hydro,7522739570.94916
Russia,Activity,Production of electricity by wind,656241.9386112507
Russia,Activity,Production of electricity by petroleum and other oil derivatives,1133769224.0344238
Russia,Activity,Production of electricity by biomass and waste,66953618.88971791
Russia,Activity,Production of electricity by solar photovoltaic,0.0
Russia,Activity,Production of electricity by solar thermal,0.0
Russia,Activity,"Production of electricity by tide, wave, ocean",0.0
Russia,Activity,Production of electricity by Geothermal,15140728.32059826
Russia,Activity,Production of electricity nec,294594820.7629256
Russia,Activity,Transmission of electricity,7626118331.937847
Russia,Activity,Distribution and trade of electricity,22500499881.399426
Russia,Activity,Manufacture of gas; distribution of gaseous fuels through mains,25453046773.642994
Russia,Activity,Steam and hot water supply,2999131092.907239
Russia,Activity,"Collection, purification and distribution of water (41)",1240247378.962291
Russia,Activity,Construction (45),208066169469.64
Russia,Activity,Re-processing of secondary construction material into aggregates,0.0
Russia,Activity,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",24347121558.536724
Russia,Activity,Retail sale of automotive fuel,2223766949.805025
Russia,Activity,"Wholesale trade and commission trade, except of motor vehicles and motorcycles (51)",131143400798.33714
Russia,Activity,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)",115729800554.85454
Russia,Activity,Hotels and restaurants (55),61378068594.815155
Russia,Activity,Transport via railways,15967310894.09535
Russia,Activity,Other land transport,44160203596.07406
Russia,Activity,Transport via pipelines,2834975356.1019244
Russia,Activity,Sea and coastal water transport,15040236433.856
Russia,Activity,Inland water transport,1436251016.6034536
Russia,Activity,Air transport (62),19189275558.958935
Russia,Activity,Supporting and auxiliary transport activities; activities of travel agencies (63),66684258318.472725
Russia,Activity,Post and telecommunications (64),62567054766.41946
Russia,Activity,"Financial intermediation, except insurance and pension funding (65)",104593081614.77316
Russia,Activity,"Insurance and pension funding, except compulsory social security (66)",43200821482.66496
Russia,Activity,Activities auxiliary to financial intermediation (67),41811638282.468445
Russia,Activity,Real estate activities (70),14081106589.6593
Russia,Activity,Renting of machinery and equipment without operator and of personal and household goods (71),3163797229.3818245
Russia,Activity,Computer and related activities (72),2859673446.526657
Russia,Activity,Research and development (73),104750873454.32527
Russia,Activity,Other business activities (74),17311658505.620003
Russia,Activity,Public administration and defence; compulsory social security (75),83382967238.01105
Russia,Activity,Education (80),69219593665.35957
Russia,Activity,Health and social work (85),110918454364.21747
Russia,Activity,Incineration of waste: Food,153612195.44341612
Russia,Activity,Incineration of waste: Paper,138671603.1881865
Russia,Activity,Incineration of waste: Plastic,34740064.5104999
Russia,Activity,Incineration of waste: Metals and Inert materials,15731602.585188752
Russia,Activity,Incineration of waste: Textiles,41362079.10751405
Russia,Activity,Incineration of waste: Wood,40689753.145239584
Russia,Activity,Incineration of waste: Oil/Hazardous waste,24153216.645596057
Russia,Activity,"Biogasification of food waste, incl. land application",0.0
Russia,Activity,"Biogasification of paper, incl. land application",0.0
Russia,Activity,"Biogasification of sewage slugde, incl. land application",0.0
Russia,Activity,"Composting of food waste, incl. land application",0.0
Russia,Activity,"Composting of paper and wood, incl. land application",0.0
Russia,Activity,"Waste water treatment, food",526856973.90765196
Russia,Activity,"Waste water treatment, other",741507342.8277687
Russia,Activity,Landfill of waste: Food,55086613404.574715
Russia,Activity,Landfill of waste: Paper,23187170098.821457
Russia,Activity,Landfill of waste: Plastic,18798297269.76783
Russia,Activity,Landfill of waste: Inert/metal/hazardous,18934462875.285805
Russia,Activity,Landfill of waste: Textiles,8100325532.941165
Russia,Activity,Landfill of waste: Wood,9762294327.602798
Russia,Activity,Activities of membership organisation n.e.c. (91),9784294706.052025
Russia,Activity,"Recreational, cultural and sporting activities (92)",30345532681.323986
Russia,Activity,Other service activities (93),882379844.0899564
Russia,Activity,Private households with employed persons (95),540180950.6973107
Russia,Activity,Extra-territorial organizations and bodies,0.0
